Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Tiene usted título de fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingenieria?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,Tipo de relación laboral,¿Tiene titulo universitario o técnico?,¿Estudío alguna carrera de PREgrado relacionada a ingeniería de sistemas?,¿Estudío alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,¿Cuanto es su salario ANUAL?,¿Cuanto era el salario ANUAL de su trabajo anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,"Si tiene acciones (opciones) en la empresa, que porcentaje de participación tiene",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿Cuantos años tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantos hijos tiene?,¿En que ciudad de Colombia vive?
2016-01-13T13:34:04Z,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,2 años,JavaScript,empleado,ningúno,si,no,si,bachiller,pesos,27000000,20000000,mi empleador,mi empleador,no tengo,no,0,si,22,el,avanzado,no,0,Medellín
2016-01-13T13:34:49Z,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,no,20 - 30%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2 años,3 - 5 años,Java,empleado,universitario,si,no,si,pregrado,pesos,30000000,35000000,mi empleador,mi empleador,no tengo,no,0,no,29,el,básico,no,0,Bogotá
2016-01-13T13:35:00Z,empresa Colombiana con mercado latinoamericano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,no,90 - 100%,no tengo responsabilidades de este tipo,70 - 80%,no tengo responsabilidades gerenciales,1 año,3 - 5 años,Java,empleado,universitario,si,no,si,pregrado,pesos,55000000,40000000,mi empleador,mi empleador,no tengo,no,0,no,25,el,avanzado,no,0,Bogotá
2016-01-13T13:35:17Z,empresa Colombiana con mercado Colombiano,otro,más de 10,no,60 - 70%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,3 - 5 años,3 - 5 años,SQL,contratista,universitario,si,no,si,pregrado,pesos,1900000,1450000,yo,yo,no tengo,no,0,no,36,el,intermedio,no,0,Bogotá
2016-01-13T13:38:22Z,empresa Colombiana con mercado latinoamericano,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,5 - 10 años,5 - 10 años,Java,empleado,universitario,si,no,si,pregrado,pesos,26000000,26000000,mi empleador,mi empleador,no tengo,no,0,no,27,el,ninguno,no,0,Manizales
2016-01-13T13:39:27Z,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,2 - 5,no,80 - 90%,0 - 10%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1 año,2 años,PHP,contratista,universitario,si,no,si,pregrado,pesos,22000000,0,yo,yo,no tengo,si,5000000,no,24,el,intermedio,no,0,Cali
2016-01-13T13:42:04Z,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,más de 10,no,70 - 80%,10 - 20%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2 años,5 - 10 años,Java,empleado,universitario,si,si,si,maestria,pesos,37700000,30000000,mi empleador,mi empleador,no tengo,no,0,si,32,ella,básico,no,0,Cali
2016-01-13T13:42:22Z,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,no,70 - 80%,0 - 10%,0 - 10%,0 - 10%,1 año,2 años,PHP,empleado,universitario,si,no,si,pregrado,pesos,21600000,18000000,mi empleador,mi empleador,no tengo,no,0,si,31,el,básico,no,1,Medellín
2016-01-13T13:42:42Z,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,más de 10,no,70 - 80%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,2 años,3 - 5 años,JavaScript,empleado,universitario,si,no,si,pregrado,pesos,24000000,7000000,mi empleador,mi empleador,no tengo,no,0,si,25,el,intermedio,no,0,Cali
2016-01-13T13:46:35Z,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,más de 10,no,80 - 90%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,1 año,3 - 5 años,PHP,empleado,universitario,si,si,si,pregrado,pesos,36000000,25000000,mi empleador,mi empleador,no tengo,no,3000000,si,28,el,intermedio,no,0,Medellín
