Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Tiene usted título de fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingenieria?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,Tipo de relación laboral,¿Tiene titulo universitario o técnico?,¿Estudío alguna carrera de PREgrado relacionada a ingeniería de sistemas?,¿Estudío alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,¿Cuanto es su salario ANUAL?,¿Cuanto era el salario ANUAL de su trabajo anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,"Si tiene acciones (opciones) en la empresa, que porcentaje de participación tiene",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿Cuantos años tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantos hijos tiene?,¿En que ciudad de Colombia vive?
1/13/2016 21:12:03,empresa Colombiana con mercado Colombiano,otro,más de 10,no,90 - 100%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,2 años,2 años,Objetive Pascal,empleado,ningúno,si,no,si,bachiller,pesos,"$18,000,000.00","$13,000,000.00",mi empleador,mi empleador,no tengo,no,0,si,23,el,intermedio,no,0,Medellín
1/13/2016 21:12:17,soy independiente (freelance),soy independiente,soy independiente,no,70 - 80%,20 - 30%,80 - 90%,30 - 40%,2 años,5 - 10 años,PHP,freelance,universitario,si,no,si,pregrado,pesos,"$4,000,000.00","$50,000,000.00",yo,yo,no tengo,soy independiente,40000000,si,35,el,intermedio,Afrocolombiano o Afrodescendiente,0,Armenia
1/13/2016 21:12:30,empresa Colombiana con mercado Colombiano,otro,más de 10,no,70 - 80%,20 - 30%,10 - 20%,0 - 10%,1 año,5 - 10 años,C#,empleado,universitario,si,si,si,pregrado,pesos,"$4,000,000.00","$3,000,000.00",mi empleador,mi empleador,no tengo,si,10000000,si,30,el,básico,no,0,Bogota
1/13/2016 21:20:00,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,menos de 1,no,80 - 90%,10 - 20%,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,2 años,JavaScript,empleado,ningúno,si,no,si,bachiller,pesos,"$32,000,000.00","$20,800,000.00",mi empleador,mi empleador,no tengo,no,0,si,23,el,intermedio,no,0,Cali
1/13/2016 21:29:06,soy independiente (freelance),consultoría y servicios de desarrollo de software a la medida,soy independiente,si,60 - 70%,20 - 30%,20 - 30%,20 - 30%,5 - 10 años,3 - 5 años,JavaScript,freelance,universitario,si,si,si,pregrado,pesos,"$40,000,000.00","$36,000,000.00",yo,yo,"tengo, pero no se cuanto",soy independiente,0,si,30,ella,intermedio,no,0,Medellin
1/13/2016 21:29:20,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,2 - 5,no,80 - 90%,70 - 80%,90 - 100%,70 - 80%,más de 15 años,más de 15 años,Visual FoxPro,empleado,universitario,si,si,si,maestria,dolares,"$28,900.00","$36,000.00",mi empleador,mi empleador,no tengo,si,7600,no,44,el,intermedio,no,1,Barranquilla
1/13/2016 21:30:50,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,más de 10,no,70 - 80%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,1 año,1 año,Java,empleado,universitario,si,no,si,pregrado,pesos,"$33,600,000.00","$8,820,000.00",mi empleador,mi empleador,no tengo,no,0,si,21,el,avanzado,no,0,Medellín
1/13/2016 21:34:29,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,90 - 100%,0 - 10%,90 - 100%,90 - 100%,1 año,10 - 15 años,Java,empleado,universitario,si,si,si,maestria,pesos,"$98,400,000.00","$120,000,000.00",mi empleador,mi empleador,no tengo,no,0,si,31,el,avanzado,no,0,Medellín
1/13/2016 21:35:01,empresa extranjera,otro,más de 10,no,80 - 90%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Java,empleado,universitario,si,no,si,pregrado,pesos,"$4,500,000.00","$3,800,000.00",mi empleador,mi empleador,no tengo,no,0,si,25,el,intermedio,no,1,Bogota
1/13/2016 21:35:16,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,1,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1 año,2 años,JavaScript,empleado,técnico,si,no,si,bachiller,pesos,"$39,000,000.00","$9,600,000.00",mi empleador,mi empleador,no tengo,no,0,no,35,el,avanzado,no,0,Medellín
